RNAi strain	Alive	Dead	Date
GFP	38	12	12-May-16
GFP	23	24	12-May-16
GFP	14	33	12-May-16
GFP	28	22	12-May-16
GFP	29	22	12-May-16
01B2	27	21	12-May-16
01B2	19	31	12-May-16
01B2	18	31	12-May-16
02A1	25	25	12-May-16
02A1	15	35	12-May-16
03C2	36	14	12-May-16
03C2	22	29	12-May-16
03C2	37	13	12-May-16
01B3	25	25	12-May-16
01B3	24	23	12-May-16
01B3	20	33	12-May-16
04B3	5	40	12-May-16
04B3	27	25	12-May-16
04B3	18	31	12-May-16
03C3	34	28	12-May-16
03C3	19	31	12-May-16
03C3	23	28	12-May-16
04C1	21	27	12-May-16
04C1	13	35	12-May-16
GFP	37	13	13-May-16
GFP	30	21	13-May-16
GFP	23	26	13-May-16
GFP	30	18	13-May-16
GFP	42	7	13-May-16
GFP	6	42	13-May-16
08A1	2	51	13-May-16
08A1	0	49	13-May-16
08A1	0	50	13-May-16
01A2	13	35	13-May-16
01A2	14	35	13-May-16
01A2	37	13	13-May-16
05C1	0	47	13-May-16
05C1	19	30	13-May-16
05C1	11	39	13-May-16
08C4	24	26	13-May-16
08C4	22	30	13-May-16
08C4	18	31	13-May-16
06B3	36	12	13-May-16
06B3	46	4	13-May-16
06B3	36	13	13-May-16
08B1	31	21	13-May-16
08B1	36	15	13-May-16
08B1	23	23	13-May-16
06C3	12	34	13-May-16
06C3	0	51	13-May-16
06C3	10	38	13-May-16
11C2	38	12	16-May-16
11C2	18	29	16-May-16
11C2	16	33	16-May-16
11C3	45	5	16-May-16
11C3	34	15	16-May-16
11C3	33	15	16-May-16
GFP	33	16	16-May-16
GFP	46	4	16-May-16
GFP	27	24	16-May-16
GFP	28	23	16-May-16
GFP	19	28	16-May-16
GFP	36	14	16-May-16
13C4	15	36	16-May-16
13C4	20	29	16-May-16
13C4	24	23	16-May-16
09A2	13	37	16-May-16
09A2	16	33	16-May-16
09A2	13	37	16-May-16
13B3	37	13	16-May-16
13B3	35	15	16-May-16
13B3	36	13	16-May-16
13A4	20	27	16-May-16
13A4	35	14	16-May-16
13A4	27	20	16-May-16
09C3	46	3	16-May-16
09C3	31	20	16-May-16
09C3	0	48	16-May-16
09B3	23	26	16-May-16
09B3	0	47	16-May-16
09B3	22	26	16-May-16
11B3	27	23	16-May-16
11B3	31	18	16-May-16
11B3	25	23	16-May-16
11A1	26	23	16-May-16
11A1	29	20	16-May-16
11A1	16	31	16-May-16
